output_name,mut_rate,num_mut_leaves,sample_size,freq_mut_outcome
run150,0.025,0,100,0.0
run1510,0.375,88,100,0.88
run1511,0.375,92,100,0.92
run1512,0.375,100,100,1.0
run1513,0.375,87,100,0.87
run1514,0.375,98,100,0.98
run1515,0.375,81,100,0.81
run1516,0.375,80,100,0.8
run1517,0.375,99,100,0.99
run1518,0.375,100,100,1.0
run1519,0.375,100,100,1.0
run151,0.025,11,100,0.11
run1520,0.375,100,100,1.0
run1521,0.375,87,100,0.87
run1522,0.375,92,100,0.92
run1523,0.375,100,100,1.0
run1524,0.375,76,100,0.76
run1525,0.375,100,100,1.0
run1526,0.375,86,100,0.86
run1527,0.375,100,100,1.0
run1528,0.375,100,100,1.0
run1529,0.375,100,100,1.0
run152,0.025,5,100,0.05
run1530,0.375,100,100,1.0
run1531,0.375,100,100,1.0
run1532,0.375,95,100,0.95
run1533,0.375,100,100,1.0
run1534,0.375,100,100,1.0
run1535,0.375,92,100,0.92
run1536,0.375,89,100,0.89
run1537,0.375,100,100,1.0
run1538,0.375,100,100,1.0
run1539,0.375,100,100,1.0
run153,0.025,3,100,0.03
run1540,0.375,100,100,1.0
run1541,0.375,100,100,1.0
run1542,0.375,98,100,0.98
run1543,0.375,75,100,0.75
run1544,0.375,100,100,1.0
run1545,0.375,100,100,1.0
run1546,0.375,100,100,1.0
run1547,0.375,100,100,1.0
run1548,0.375,100,100,1.0
run1549,0.375,96,100,0.96
run154,0.025,41,100,0.41
run1550,0.375,99,100,0.99
run1551,0.375,100,100,1.0
run1552,0.375,93,100,0.93
run1553,0.375,100,100,1.0
run1554,0.375,97,100,0.97
run1555,0.375,99,100,0.99
run1556,0.375,93,100,0.93
run1557,0.375,100,100,1.0
run1558,0.375,99,100,0.99
run1559,0.375,100,100,1.0
run155,0.025,33,100,0.33
run1560,0.375,98,100,0.98
run1561,0.375,100,100,1.0
run1562,0.375,100,100,1.0
run1563,0.375,96,100,0.96
run1564,0.375,99,100,0.99
run1565,0.375,100,100,1.0
run1566,0.375,95,100,0.95
run1567,0.375,91,100,0.91
run1568,0.375,99,100,0.99
run1569,0.375,92,100,0.92
run156,0.025,6,100,0.06
run1570,0.375,91,100,0.91
run1571,0.375,100,100,1.0
run1572,0.375,89,100,0.89
run1573,0.375,100,100,1.0
run1574,0.375,100,100,1.0
run1575,0.375,100,100,1.0
run1576,0.375,99,100,0.99
run1577,0.375,100,100,1.0
run1578,0.375,100,100,1.0
run1579,0.375,100,100,1.0
run157,0.025,16,100,0.16
run1580,0.375,95,100,0.95
run1581,0.375,92,100,0.92
run1582,0.375,100,100,1.0
run1583,0.375,100,100,1.0
run1584,0.375,100,100,1.0
run1585,0.375,95,100,0.95
run1586,0.375,100,100,1.0
run1587,0.375,96,100,0.96
run1588,0.375,100,100,1.0
run1589,0.375,81,100,0.81
run158,0.025,58,100,0.58
run1590,0.375,100,100,1.0
run1591,0.375,100,100,1.0
run1592,0.375,100,100,1.0
run1593,0.375,94,100,0.94
run1594,0.375,98,100,0.98
run1595,0.375,92,100,0.92
run1596,0.375,100,100,1.0
run1597,0.375,86,100,0.86
run1598,0.375,85,100,0.85
run1599,0.375,97,100,0.97
run159,0.025,6,100,0.06
run15,0.01,3,100,0.03
run1600,0.4,100,100,1.0
run1601,0.4,99,100,0.99
run1602,0.4,93,100,0.93
run1603,0.4,100,100,1.0
run1604,0.4,99,100,0.99
run1605,0.4,100,100,1.0
